No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,Karbo_Clean,Keyword_Semantik,enhanced_corpus_mccbf,corpus_rf
11,cah ayam jamur,ayam,400,jagung nasi merah kentang,tumis ayam dan jamur kaya protein menu klasik,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",protein ayam,"cah ayam jamur tumis ayam dan jamur kaya protein menu klasik jagung, kentang, nasi merah protein ayam",cah ayam jamur tumis ayam dan jamur kaya protein menu klasik
12,ayam patty krispi,ayam,390,kentang nasi merah nasi putih,patty ayam renyah disajikan dengan telur mata sapi,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam patty krispi patty ayam renyah disajikan dengan telur mata sapi kentang, nasi merah, nasi putih protein ayam",ayam patty krispi patty ayam renyah disajikan dengan telur mata sapi
13,ayam saus wijen,ayam,400,kentang nasi merah nasi putih,ayam tumis dengan saus wijen rasa gurih,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam saus wijen ayam tumis dengan saus wijen rasa gurih kentang, nasi merah, nasi putih protein ayam",ayam saus wijen ayam tumis dengan saus wijen rasa gurih
14,cah tahu sapi,sapi,395,jagung nasi merah nasi putih,tumis tahu dan daging sapi cincang protein seimbang,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi protein vegetarian,"cah tahu sapi tumis tahu dan daging sapi cincang protein seimbang jagung, nasi merah, nasi putih protein sapi protein vegetarian",cah tahu sapi tumis tahu dan daging sapi cincang protein seimbang
15,soto bandung,ayam,400,kentang nasi merah nasi putih,soto daging sapi kuah bening khas bandung,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",,"soto bandung soto daging sapi kuah bening khas bandung kentang, nasi merah, nasi putih",soto bandung soto daging sapi kuah bening khas bandung
16,ayam rempah panggang telur tortila,ayam,395,jagung nasi merah nasi putih,ayam panggang bumbu herbal dengan tortila telur,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam panggang,"ayam rempah panggang telur tortila ayam panggang bumbu herbal dengan tortila telur jagung, nasi merah, nasi putih protein ayam panggang",ayam rempah panggang telur tortila ayam panggang bumbu herbal dengan tortila telur
17,ayam lada hitam,ayam,400,jagung nasi merah nasi putih,ayam lada hitam tumis sayuran rasa pedas hangat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam blackpepper,"ayam lada hitam ayam lada hitam tumis sayuran rasa pedas hangat jagung, nasi merah, nasi putih protein ayam blackpepper",ayam lada hitam ayam lada hitam tumis sayuran rasa pedas hangat
18,dori popcorn,ikan,395,jagung pasta,potongan dori renyah disajikan dengan pasta saus krim,['jagung'],jagung,protein ikan,dori popcorn potongan dori renyah disajikan dengan pasta saus krim jagung protein ikan,dori popcorn potongan dori renyah disajikan dengan pasta saus krim
19,soto daging spesial,sapi,400,kentang nasi merah nasi putih,soto daging kuah kaya rempah lauk lengkap,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"soto daging spesial soto daging kuah kaya rempah lauk lengkap kentang, nasi merah, nasi putih protein sapi",soto daging spesial soto daging kuah kaya rempah lauk lengkap
20,cah buncis ayam,ayam,395,jagung nasi merah nasi putih,tumis buncis dengan ayam cincang lauk tempe,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"cah buncis ayam tumis buncis dengan ayam cincang lauk tempe jagung, nasi merah, nasi putih protein ayam",cah buncis ayam tumis buncis dengan ayam cincang lauk tempe
21,rolade ayam,ayam,400,kentang nasi merah nasi putih,rolade ayam kukus disajikan dengan sayur sop,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"rolade ayam rolade ayam kukus disajikan dengan sayur sop kentang, nasi merah, nasi putih protein ayam",rolade ayam rolade ayam kukus disajikan dengan sayur sop
22,ayam panggang sambal matah,ayam,395,jagung ubi nasi merah nasi putih,ayam panggang disajikan dengan sambal matah segar,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein ayam panggang,"ayam panggang sambal matah ayam panggang disajikan dengan sambal matah segar jagung, nasi merah, nasi putih, ubi protein ayam panggang",ayam panggang sambal matah ayam panggang disajikan dengan sambal matah segar
23,dori katsu balado,ikan,400,kentang nasi merah nasi putih,katsu ikan dori bumbu balado pedas tidak berminyak,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ikan,"dori katsu balado katsu ikan dori bumbu balado pedas tidak berminyak kentang, nasi merah, nasi putih protein ikan",dori katsu balado katsu ikan dori bumbu balado pedas tidak berminyak
24,tahu bakso kuah,vegetarian,395,,tahu bakso sapi kuah kaldu segar tanpa santan,[],,protein vegetarian,tahu bakso kuah tahu bakso sapi kuah kaldu segar tanpa santan  protein vegetarian,tahu bakso kuah tahu bakso sapi kuah kaldu segar tanpa santan
25,ayam woku,ayam,400,kentang nasi merah nasi putih,ayam bumbu woku khas manado pedas dan wangi,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam woku ayam bumbu woku khas manado pedas dan wangi kentang, nasi merah, nasi putih protein ayam",ayam woku ayam bumbu woku khas manado pedas dan wangi
26,sapi burger,sapi,395,,burger patty sapi disajikan tanpa roti dengan salad,[],,protein sapi,sapi burger burger patty sapi disajikan tanpa roti dengan salad  protein sapi,sapi burger burger patty sapi disajikan tanpa roti dengan salad
27,cah sapi buncis,sapi,400,jagung nasi merah nasi putih,tumis buncis dan daging sapi cincang lauk telur,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"cah sapi buncis tumis buncis dan daging sapi cincang lauk telur jagung, nasi merah, nasi putih protein sapi",cah sapi buncis tumis buncis dan daging sapi cincang lauk telur
28,ayam saus mentega,ayam,395,jagung nasi merah nasi putih,ayam tumis saus mentega klasik gurih,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam saus mentega ayam tumis saus mentega klasik gurih jagung, nasi merah, nasi putih protein ayam",ayam saus mentega ayam tumis saus mentega klasik gurih
29,ayam madu,ayam,400,kentang nasi merah nasi putih,ayam panggang saus madu rasa manis gurih,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam madu ayam panggang saus madu rasa manis gurih kentang, nasi merah, nasi putih protein ayam",ayam madu ayam panggang saus madu rasa manis gurih
30,ikan stik saus korea,ikan,395,jagung nasi merah nasi putih,stik ikan renyah saus korea gochujang pedas manis,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"ikan stik saus korea stik ikan renyah saus korea gochujang pedas manis jagung, nasi merah, nasi putih protein ikan",ikan stik saus korea stik ikan renyah saus korea gochujang pedas manis
31,bola daging teriyaki,sapi,400,kentang nasi merah nasi putih,bola daging sapi saus teriyaki dengan sayur sop,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi teriyaki,"bola daging teriyaki bola daging sapi saus teriyaki dengan sayur sop kentang, nasi merah, nasi putih protein sapi teriyaki",bola daging teriyaki bola daging sapi saus teriyaki dengan sayur sop
32,ayam krispi saus barbeque,ayam,395,kentang ubi nasi merah nasi putih,ayam renyah saus barbeque buatan sendiri,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam krispi saus barbeque ayam renyah saus barbeque buatan sendiri kentang, nasi merah, nasi putih, ubi protein ayam",ayam krispi saus barbeque ayam renyah saus barbeque buatan sendiri
33,ayam maranggi,ayam,400,kentang nasi merah nasi putih,sate ayam maranggi tanpa tusuk bumbu rempah,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam maranggi sate ayam maranggi tanpa tusuk bumbu rempah kentang, nasi merah, nasi putih protein ayam",ayam maranggi sate ayam maranggi tanpa tusuk bumbu rempah
34,bola ayam saus asam pedas,ayam,400,jagung nasi merah nasi putih,bola ayam saus asam pedas segar tumis sayur,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam pedas,"bola ayam saus asam pedas bola ayam saus asam pedas segar tumis sayur jagung, nasi merah, nasi putih protein ayam pedas",bola ayam saus asam pedas bola ayam saus asam pedas segar tumis sayur
35,dori katsu,ikan,395,jagung nasi merah nasi putih,katsu ikan dori renyah pilihan tumis atau salad,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori katsu katsu ikan dori renyah pilihan tumis atau salad jagung, nasi merah, nasi putih protein ikan",dori katsu katsu ikan dori renyah pilihan tumis atau salad
36,ayam tomyum,ayam,395,kentang nasi merah nasi putih,ayam kuah tomyum rasa asam pedas tanpa santan,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam tomyum ayam kuah tomyum rasa asam pedas tanpa santan kentang, nasi merah, nasi putih protein ayam",ayam tomyum ayam kuah tomyum rasa asam pedas tanpa santan
37,dori sambal ijo,ikan,400,kentang nasi merah nasi putih,ikan dori bumbu sambal ijo pedas nikmat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ikan,"dori sambal ijo ikan dori bumbu sambal ijo pedas nikmat kentang, nasi merah, nasi putih protein ikan",dori sambal ijo ikan dori bumbu sambal ijo pedas nikmat
38,ayam telur asin,ayam,400,jagung nasi merah nasi putih,ayam saus telur asin gurih rendah minyak,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam telur asin ayam saus telur asin gurih rendah minyak jagung, nasi merah, nasi putih protein ayam",ayam telur asin ayam saus telur asin gurih rendah minyak
39,soto bandung,ayam,390,kentang nasi merah nasi putih,soto daging khas bandung kuah bening lobak,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",,"soto bandung soto daging khas bandung kuah bening lobak kentang, nasi merah, nasi putih",soto bandung soto daging khas bandung kuah bening lobak
40,cah brokoli ayam,ayam,395,jagung nasi merah nasi putih,tumis brokoli segar ayam cincang lauk telur,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"cah brokoli ayam tumis brokoli segar ayam cincang lauk telur jagung, nasi merah, nasi putih protein ayam",cah brokoli ayam tumis brokoli segar ayam cincang lauk telur
41,ayam saus wijen,ayam,395,jagung nasi merah nasi putih,ayam tumis saus wijen sangrai wangi dan gurih,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam saus wijen ayam tumis saus wijen sangrai wangi dan gurih jagung, nasi merah, nasi putih protein ayam",ayam saus wijen ayam tumis saus wijen sangrai wangi dan gurih
42,sapi patty barbeque,sapi,395,ubi kentang nasi merah nasi putih,patty sapi panggang saus barbeque tanpa roti,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein sapi,"sapi patty barbeque patty sapi panggang saus barbeque tanpa roti kentang, nasi merah, nasi putih, ubi protein sapi",sapi patty barbeque patty sapi panggang saus barbeque tanpa roti
43,ayam balado,ayam,385,jagung nasi merah nasi putih,ayam bumbu balado tumis sayur bayam lauk tempe,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam balado ayam bumbu balado tumis sayur bayam lauk tempe jagung, nasi merah, nasi putih protein ayam",ayam balado ayam bumbu balado tumis sayur bayam lauk tempe
44,dori katsu pasta aglio eolio,ikan,400,pasta,katsu ikan dori disajikan dengan pasta aglio eolio,[],,protein ikan,dori katsu pasta aglio eolio katsu ikan dori disajikan dengan pasta aglio eolio  protein ikan,dori katsu pasta aglio eolio katsu ikan dori disajikan dengan pasta aglio eolio
45,ayam bola woku,ayam,390,kentang nasi merah nasi putih,bola ayam bumbu woku pedas kemangi tumis sayur,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam bola woku bola ayam bumbu woku pedas kemangi tumis sayur kentang, nasi merah, nasi putih protein ayam",ayam bola woku bola ayam bumbu woku pedas kemangi tumis sayur
46,telur tortila panggang ayam madu,ayam,397,jagung,tortila telur ayam panggang saus madu jagung rebus,['jagung'],jagung,protein ayam panggang,telur tortila panggang ayam madu tortila telur ayam panggang saus madu jagung rebus jagung protein ayam panggang,telur tortila panggang ayam madu tortila telur ayam panggang saus madu jagung rebus
47,soto betawi,ayam,400,kentang nasi merah nasi putih,soto betawi kuah bening tanpa santan kaya rempah,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",,"soto betawi soto betawi kuah bening tanpa santan kaya rempah kentang, nasi merah, nasi putih",soto betawi soto betawi kuah bening tanpa santan kaya rempah
48,ayam saus mentega,ayam,400,jagung nasi merah nasi putih,ayam tumis saus mentega lauk tahu kukus,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam saus mentega ayam tumis saus mentega lauk tahu kukus jagung, nasi merah, nasi putih protein ayam",ayam saus mentega ayam tumis saus mentega lauk tahu kukus
49,ayam serundeng,ayam,395,jagung nasi merah nasi putih,ayam tabur serundeng kelapa gurih tumis sayur,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam serundeng ayam tabur serundeng kelapa gurih tumis sayur jagung, nasi merah, nasi putih protein ayam",ayam serundeng ayam tabur serundeng kelapa gurih tumis sayur
50,pangsit ayam yamin yahun,ayam,395,mie,pangsit ayam rebus mie yamin yahun sehat,[],,protein ayam,pangsit ayam yamin yahun pangsit ayam rebus mie yamin yahun sehat  protein ayam,pangsit ayam yamin yahun pangsit ayam rebus mie yamin yahun sehat
51,krim ayam jamur,ayam,395,kentang nasi merah nasi putih,ayam jamur saus krim rendah lemak lauk telur,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"krim ayam jamur ayam jamur saus krim rendah lemak lauk telur kentang, nasi merah, nasi putih protein ayam",krim ayam jamur ayam jamur saus krim rendah lemak lauk telur
52,buncis sapi lada hitam,sapi,395,ubi jagung nasi merah nasi putih,tumis buncis dan sapi cincang saus lada hitam,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein sapi blackpepper,"buncis sapi lada hitam tumis buncis dan sapi cincang saus lada hitam jagung, nasi merah, nasi putih, ubi protein sapi blackpepper",buncis sapi lada hitam tumis buncis dan sapi cincang saus lada hitam
53,ayam bakar,ayam,390,jagung nasi merah nasi putih,ayam bakar bumbu kecap tumis sayur lauk tempe,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam panggang,"ayam bakar ayam bakar bumbu kecap tumis sayur lauk tempe jagung, nasi merah, nasi putih protein ayam panggang",ayam bakar ayam bakar bumbu kecap tumis sayur lauk tempe
54,dori telur asin,ikan,390,kentang ubi nasi merah nasi putih,ikan dori saus telur asin gurih sayuran kukus,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ikan,"dori telur asin ikan dori saus telur asin gurih sayuran kukus kentang, nasi merah, nasi putih, ubi protein ikan",dori telur asin ikan dori saus telur asin gurih sayuran kukus
55,dori sambal ijo,ikan,395,kentang nasi merah nasi putih,ikan dori bumbu sambal ijo disajikan sop lauk tahu,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ikan,"dori sambal ijo ikan dori bumbu sambal ijo disajikan sop lauk tahu kentang, nasi merah, nasi putih protein ikan",dori sambal ijo ikan dori bumbu sambal ijo disajikan sop lauk tahu
56,ayam patty krispi,ayam,390,jagung nasi merah nasi putih,patty ayam renyah disajikan dengan salad sayur,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam patty krispi patty ayam renyah disajikan dengan salad sayur jagung, nasi merah, nasi putih protein ayam",ayam patty krispi patty ayam renyah disajikan dengan salad sayur
57,ayam tomyum,ayam,395,kentang nasi merah nasi putih,ayam kuah tomyum asam pedas segar lauk telur rebus,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam tomyum ayam kuah tomyum asam pedas segar lauk telur rebus kentang, nasi merah, nasi putih protein ayam",ayam tomyum ayam kuah tomyum asam pedas segar lauk telur rebus
58,ayam barbeque panggang,ayam,390,jagung nasi merah nasi putih,ayam panggang saus barbeque sayuran kukus,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam panggang,"ayam barbeque panggang ayam panggang saus barbeque sayuran kukus jagung, nasi merah, nasi putih protein ayam panggang",ayam barbeque panggang ayam panggang saus barbeque sayuran kukus
59,dori sambal matah,ikan,395,jagung nasi merah nasi putih,ikan dori sambal matah segar lauk telur orak arik,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori sambal matah ikan dori sambal matah segar lauk telur orak arik jagung, nasi merah, nasi putih protein ikan",dori sambal matah ikan dori sambal matah segar lauk telur orak arik
60,longbun dengan ayam lada hitam,ayam,400,roti gandum,roti gandum ayam lada hitam disajikan dengan salad,[],,protein ayam blackpepper,longbun dengan ayam lada hitam roti gandum ayam lada hitam disajikan dengan salad  protein ayam blackpepper,longbun dengan ayam lada hitam roti gandum ayam lada hitam disajikan dengan salad
61,soto ayam spesial,ayam,395,bihun kentang nasi merah nasi putih,soto ayam kuah kuning lauk lengkap tanpa santan,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"soto ayam spesial soto ayam kuah kuning lauk lengkap tanpa santan kentang, nasi merah, nasi putih protein ayam",soto ayam spesial soto ayam kuah kuning lauk lengkap tanpa santan
62,bistik sapi,sapi,395,jagung nasi merah nasi putih,bistik daging sapi empuk saus gurih sayur kukus,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"bistik sapi bistik daging sapi empuk saus gurih sayur kukus jagung, nasi merah, nasi putih protein sapi",bistik sapi bistik daging sapi empuk saus gurih sayur kukus
63,sapi cabe garam,sapi,390,jagung nasi merah nasi putih,daging sapi tumis cabe garam pedas gurih lauk tempe,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"sapi cabe garam daging sapi tumis cabe garam pedas gurih lauk tempe jagung, nasi merah, nasi putih protein sapi",sapi cabe garam daging sapi tumis cabe garam pedas gurih lauk tempe
64,bola ayam sambal taichan,ayam,395,kentang ubi nasi merah nasi putih,bola ayam bakar sambal taichan pedas asam,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"bola ayam sambal taichan bola ayam bakar sambal taichan pedas asam kentang, nasi merah, nasi putih, ubi protein ayam",bola ayam sambal taichan bola ayam bakar sambal taichan pedas asam
65,ayam rolade,ayam,395,kentang nasi merah nasi putih,rolade ayam kukus disajikan tumis sayuran,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam rolade rolade ayam kukus disajikan tumis sayuran kentang, nasi merah, nasi putih protein ayam",ayam rolade rolade ayam kukus disajikan tumis sayuran
66,dori katsu saus asam manis,ikan,390,jagung nasi merah nasi putih,katsu ikan dori saus asam manis lauk sayur sop,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan manis,"dori katsu saus asam manis katsu ikan dori saus asam manis lauk sayur sop jagung, nasi merah, nasi putih protein ikan manis",dori katsu saus asam manis katsu ikan dori saus asam manis lauk sayur sop
67,panggang ayam madu,ayam,390,kentang nasi merah nasi putih,ayam panggang madu bumbu meresap tumis sayur,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam panggang,"panggang ayam madu ayam panggang madu bumbu meresap tumis sayur kentang, nasi merah, nasi putih protein ayam panggang",panggang ayam madu ayam panggang madu bumbu meresap tumis sayur
68,dori stik,ikan,400,pasta,stik ikan dori pasta aglio eolio sayuran kukus,[],,protein ikan,dori stik stik ikan dori pasta aglio eolio sayuran kukus  protein ikan,dori stik stik ikan dori pasta aglio eolio sayuran kukus
69,rawon surabaya sapi ayam,ayam,395,kentang nasi merah nasi putih,rawon kuah rempah pilihan sapi atau ayam,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam protein sapi,"rawon surabaya sapi ayam rawon kuah rempah pilihan sapi atau ayam kentang, nasi merah, nasi putih protein ayam protein sapi",rawon surabaya sapi ayam rawon kuah rempah pilihan sapi atau ayam
70,ayam bola lada hitam,ayam,395,jagung nasi merah nasi putih,bola ayam saus lada hitam lauk tahu kukus,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam blackpepper,"ayam bola lada hitam bola ayam saus lada hitam lauk tahu kukus jagung, nasi merah, nasi putih protein ayam blackpepper",ayam bola lada hitam bola ayam saus lada hitam lauk tahu kukus
71,ayam maranggi,ayam,400,jagung nasi merah nasi putih,ayam bumbu maranggi tumis sayur lauk tempe,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam maranggi ayam bumbu maranggi tumis sayur lauk tempe jagung, nasi merah, nasi putih protein ayam",ayam maranggi ayam bumbu maranggi tumis sayur lauk tempe
72,sapi patty kastu,sapi,395,kentang ubi nasi merah nasi putih,patty sapi panggang saus kastu sayuran kukus,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein sapi,"sapi patty kastu patty sapi panggang saus kastu sayuran kukus kentang, nasi merah, nasi putih, ubi protein sapi",sapi patty kastu patty sapi panggang saus kastu sayuran kukus
73,dori cabai garam,ikan,395,jagung nasi merah nasi putih,ikan dori tumis cabai garam pedas gurih,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori cabai garam ikan dori tumis cabai garam pedas gurih jagung, nasi merah, nasi putih protein ikan",dori cabai garam ikan dori tumis cabai garam pedas gurih
74,ayam panggang sambal matah,ayam,390,kentang ubi nasi merah nasi putih,ayam panggang sambal matah segar sayur kukus,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam panggang,"ayam panggang sambal matah ayam panggang sambal matah segar sayur kukus kentang, nasi merah, nasi putih, ubi protein ayam panggang",ayam panggang sambal matah ayam panggang sambal matah segar sayur kukus
75,ayam suwir teriyaki,ayam,400,kentang nasi merah nasi putih,ayam suwir saus teriyaki tumis sayuran,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam teriyaki,"ayam suwir teriyaki ayam suwir saus teriyaki tumis sayuran kentang, nasi merah, nasi putih protein ayam teriyaki",ayam suwir teriyaki ayam suwir saus teriyaki tumis sayuran
76,scotch telur,vegetarian,395,jagung,telur rebus dibalut daging disajikan dengan salad,['jagung'],jagung,,scotch telur telur rebus dibalut daging disajikan dengan salad jagung,scotch telur telur rebus dibalut daging disajikan dengan salad
77,ayam bumbu kari,ayam,400,kentang nasi merah nasi putih,ayam bumbu kari tanpa santan lauk telur orak arik,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam bumbu kari ayam bumbu kari tanpa santan lauk telur orak arik kentang, nasi merah, nasi putih protein ayam",ayam bumbu kari ayam bumbu kari tanpa santan lauk telur orak arik
