No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf
11,Cah Ayam Jamur,ayam,400,jagung nasi merah kentang,tumis ayam dan jamur kaya protein menu klasik,"['nasi', 'kentang', 'jagung', 'merah']",cah ayam jamur ayam jagung nasi merah kentang tumis ayam dan jamur kaya protein menu klasik,"jagung, nasi merah, kentang",cah ayam jamur,tumis ayam dan jamur kaya protein menu klasik,protein_ayam,cah ayam jamur ayam jagung kentang nasi merah tumis ayam dan jamur kaya protein menu klasik protein_ayam,cah ayam jamur tumis ayam dan jamur kaya protein menu klasik nasi kentang jagung merah protein_ayam,cah ayam jamur tumis ayam dan jamur kaya protein menu klasik
12,Ayam Patty Krispi,ayam,390,kentang nasi merah nasi putih,patty ayam renyah disajikan dengan telur mata sapi,"['nasi', 'putih', 'kentang', 'merah']",chicken patty crispy ayam kentang nasi merah nasi putih patty ayam renyah disajikan dengan telur mata sapi,"kentang, nasi merah, nasi putih",ayam patty krispi,patty ayam renyah disajikan dengan telur mata sapi,protein_ayam,ayam patty krispi ayam merah putih kentang nasi patty ayam renyah disajikan dengan telur mata sapi protein_ayam,ayam patty krispi patty ayam renyah disajikan dengan telur mata sapi nasi putih kentang merah protein_ayam,ayam patty krispi patty ayam renyah disajikan dengan telur mata sapi
13,Ayam Saus Wijen,ayam,400,kentang nasi merah nasi putih,ayam tumis dengan saus wijen rasa gurih,"['nasi', 'putih', 'kentang', 'merah']",ayam saus wijen ayam kentang nasi merah nasi putih ayam tumis dengan saus wijen rasa gurih,"kentang, nasi merah, nasi putih",ayam saus wijen,ayam tumis dengan saus wijen rasa gurih,protein_ayam,ayam saus wijen ayam merah putih kentang nasi ayam tumis dengan saus wijen rasa gurih protein_ayam,ayam saus wijen ayam tumis dengan saus wijen rasa gurih nasi putih kentang merah protein_ayam,ayam saus wijen ayam tumis dengan saus wijen rasa gurih
14,Cah Tahu Sapi,sapi,395,jagung nasi merah nasi putih,tumis tahu dan daging sapi cincang protein seimbang,"['nasi', 'putih', 'jagung', 'merah']",cah tahu sapi sapi jagung nasi merah nasi putih tumis tahu dan daging sapi cincang protein seimbang,"jagung, nasi merah, nasi putih",cah tahu sapi,tumis tahu dan daging sapi cincang protein seimbang,protein_sapi protein_vegetarian,cah tahu sapi sapi jagung putih nasi merah tumis tahu dan daging sapi cincang protein seimbang protein_sapi protein_vegetarian,cah tahu sapi tumis tahu dan daging sapi cincang protein seimbang nasi putih jagung merah protein_sapi protein_vegetarian,cah tahu sapi tumis tahu dan daging sapi cincang protein seimbang
15,Soto Bandung,ayam,400,kentang nasi merah nasi putih,soto daging sapi kuah bening khas bandung,"['nasi', 'putih', 'kentang', 'merah']",soto bandung sapi kentang nasi merah nasi putih soto daging sapi kuah bening khas bandung,"kentang, nasi merah, nasi putih",soto bandung,soto daging sapi kuah bening khas bandung,,soto bandung ayam merah putih kentang nasi soto daging sapi kuah bening khas bandung ,soto bandung soto daging sapi kuah bening khas bandung nasi putih kentang merah ,soto bandung soto daging sapi kuah bening khas bandung
16,Ayam Rempah Panggang Telur Tortila,ayam,395,jagung nasi merah nasi putih,ayam panggang bumbu herbal dengan tortila telur,"['nasi', 'putih', 'jagung', 'merah']",chicken herbs grill egg tortila ayam jagung nasi merah nasi putih ayam panggang bumbu herbal dengan tortila telur,"jagung, nasi merah, nasi putih",ayam rempah panggang telur tortila,ayam panggang bumbu herbal dengan tortila telur,protein_ayam panggang,ayam rempah panggang telur tortila ayam jagung putih nasi merah ayam panggang bumbu herbal dengan tortila telur protein_ayam,ayam rempah panggang telur tortila ayam panggang bumbu herbal dengan tortila telur nasi putih jagung merah protein_ayam panggang,ayam rempah panggang telur tortila ayam panggang bumbu herbal dengan tortila telur
17,Ayam Lada Hitam,ayam,400,jagung nasi merah nasi putih,ayam lada hitam tumis sayuran rasa pedas hangat,"['nasi', 'putih', 'jagung', 'merah']",chicken blackpepper ayam jagung nasi merah nasi putih ayam lada hitam tumis sayuran rasa pedas hangat,"jagung, nasi merah, nasi putih",ayam lada hitam,ayam lada hitam tumis sayuran rasa pedas hangat,protein_ayam blackpepper,ayam lada hitam ayam jagung putih nasi merah ayam lada hitam tumis sayuran rasa pedas hangat protein_ayam ladahitam,ayam lada hitam ayam lada hitam tumis sayuran rasa pedas hangat nasi putih jagung merah protein_ayam blackpepper,ayam lada hitam ayam lada hitam tumis sayuran rasa pedas hangat
18,Dori Popcorn,ikan,395,jagung pasta,potongan dori renyah disajikan dengan pasta saus krim,"['jagung', 'pasta']",dori popcorn ikan jagung pasta potongan dori renyah disajikan dengan pasta saus krim,"jagung, pasta",dori popcorn,potongan dori renyah disajikan dengan pasta saus krim,protein_ikan,dori popcorn ikan jagung pasta potongan dori renyah disajikan dengan pasta saus krim protein_ikan,dori popcorn potongan dori renyah disajikan dengan pasta saus krim jagung pasta protein_ikan,dori popcorn potongan dori renyah disajikan dengan pasta saus krim
19,Soto Daging Spesial,sapi,400,kentang nasi merah nasi putih,soto daging kuah kaya rempah lauk lengkap,"['nasi', 'putih', 'kentang', 'merah']",soto daging spesial sapi kentang nasi merah nasi putih soto daging kuah kaya rempah lauk lengkap,"kentang, nasi merah, nasi putih",soto daging spesial,soto daging kuah kaya rempah lauk lengkap,protein_sapi,soto daging spesial sapi merah putih kentang nasi soto daging kuah kaya rempah lauk lengkap protein_sapi,soto daging spesial soto daging kuah kaya rempah lauk lengkap nasi putih kentang merah protein_sapi,soto daging spesial soto daging kuah kaya rempah lauk lengkap
20,Cah Buncis Ayam,ayam,395,jagung nasi merah nasi putih,tumis buncis dengan ayam cincang lauk tempe,"['nasi', 'putih', 'jagung', 'merah']",cah buncis ayam ayam jagung nasi merah nasi putih tumis buncis dengan ayam cincang lauk tempe,"jagung, nasi merah, nasi putih",cah buncis ayam,tumis buncis dengan ayam cincang lauk tempe,protein_ayam,cah buncis ayam ayam jagung putih nasi merah tumis buncis dengan ayam cincang lauk tempe protein_ayam,cah buncis ayam tumis buncis dengan ayam cincang lauk tempe nasi putih jagung merah protein_ayam,cah buncis ayam tumis buncis dengan ayam cincang lauk tempe
21,Rolade Ayam,ayam,400,kentang nasi merah nasi putih,rolade ayam kukus disajikan dengan sayur sop,"['nasi', 'putih', 'kentang', 'merah']",rolade ayam ayam kentang nasi merah nasi putih rolade ayam kukus disajikan dengan sayur sop,"kentang, nasi merah, nasi putih",rolade ayam,rolade ayam kukus disajikan dengan sayur sop,protein_ayam,rolade ayam ayam merah putih kentang nasi rolade ayam kukus disajikan dengan sayur sop protein_ayam,rolade ayam rolade ayam kukus disajikan dengan sayur sop nasi putih kentang merah protein_ayam,rolade ayam rolade ayam kukus disajikan dengan sayur sop
22,Ayam Panggang Sambal Matah,ayam,395,jagung ubi nasi merah nasi putih,ayam panggang disajikan dengan sambal matah segar,"['nasi', 'merah', 'ubi', 'putih', 'jagung']",chicken grill sambal matah ayam jagung ubi nasi merah nasi putih ayam panggang disajikan dengan sambal matah segar,"jagung, ubi, nasi merah, nasi putih",ayam panggang sambal matah,ayam panggang disajikan dengan sambal matah segar,protein_ayam panggang,ayam panggang sambal matah ayam jagung putih nasi ubi merah ayam panggang disajikan dengan sambal matah segar protein_ayam,ayam panggang sambal matah ayam panggang disajikan dengan sambal matah segar nasi merah ubi putih jagung protein_ayam panggang,ayam panggang sambal matah ayam panggang disajikan dengan sambal matah segar
23,Dori Katsu Balado,ikan,400,kentang nasi merah nasi putih,katsu ikan dori bumbu balado pedas tidak berminyak,"['nasi', 'putih', 'kentang', 'merah']",dori katsu balado ikan kentang nasi merah nasi putih katsu ikan dori bumbu balado pedas tidak berminyak,"kentang, nasi merah, nasi putih",dori katsu balado,katsu ikan dori bumbu balado pedas tidak berminyak,protein_ikan,dori katsu balado ikan merah putih kentang nasi katsu ikan dori bumbu balado pedas tidak berminyak protein_ikan,dori katsu balado katsu ikan dori bumbu balado pedas tidak berminyak nasi putih kentang merah protein_ikan,dori katsu balado katsu ikan dori bumbu balado pedas tidak berminyak
24,Tahu Bakso Kuah,vegetarian,395,,tahu bakso sapi kuah kaldu segar tanpa santan,[],tahu bakso kuah sapi tahu bakso sapi kuah kaldu segar tanpa santan,,tahu bakso kuah,tahu bakso sapi kuah kaldu segar tanpa santan,protein_vegetarian,tahu bakso kuah vegetarian  tahu bakso sapi kuah kaldu segar tanpa santan protein_vegetarian,tahu bakso kuah tahu bakso sapi kuah kaldu segar tanpa santan  protein_vegetarian,tahu bakso kuah tahu bakso sapi kuah kaldu segar tanpa santan
25,Ayam Woku,ayam,400,kentang nasi merah nasi putih,ayam bumbu woku khas manado pedas dan wangi,"['nasi', 'putih', 'kentang', 'merah']",chicken woku ayam kentang nasi merah nasi putih ayam bumbu woku khas manado pedas dan wangi,"kentang, nasi merah, nasi putih",ayam woku,ayam bumbu woku khas manado pedas dan wangi,protein_ayam,ayam woku ayam merah putih kentang nasi ayam bumbu woku khas manado pedas dan wangi protein_ayam,ayam woku ayam bumbu woku khas manado pedas dan wangi nasi putih kentang merah protein_ayam,ayam woku ayam bumbu woku khas manado pedas dan wangi
26,Sapi Burger,sapi,395,,burger patty sapi disajikan tanpa roti dengan salad,[],beef burger sapi burger patty sapi disajikan tanpa roti dengan salad,,sapi burger,burger patty sapi disajikan tanpa roti dengan salad,protein_sapi,sapi burger sapi  burger patty sapi disajikan tanpa roti dengan salad protein_sapi,sapi burger burger patty sapi disajikan tanpa roti dengan salad  protein_sapi,sapi burger burger patty sapi disajikan tanpa roti dengan salad
27,Cah Sapi Buncis,sapi,400,jagung nasi merah nasi putih,tumis buncis dan daging sapi cincang lauk telur,"['nasi', 'putih', 'jagung', 'merah']",cah sapi buncis sapi jagung nasi merah nasi putih tumis buncis dan daging sapi cincang lauk telur,"jagung, nasi merah, nasi putih",cah sapi buncis,tumis buncis dan daging sapi cincang lauk telur,protein_sapi,cah sapi buncis sapi jagung putih nasi merah tumis buncis dan daging sapi cincang lauk telur protein_sapi,cah sapi buncis tumis buncis dan daging sapi cincang lauk telur nasi putih jagung merah protein_sapi,cah sapi buncis tumis buncis dan daging sapi cincang lauk telur
28,Ayam Saus Mentega,ayam,395,jagung nasi merah nasi putih,ayam tumis saus mentega klasik gurih,"['nasi', 'putih', 'jagung', 'merah']",ayam saus mentega ayam jagung nasi merah nasi putih ayam tumis saus mentega klasik gurih,"jagung, nasi merah, nasi putih",ayam saus mentega,ayam tumis saus mentega klasik gurih,protein_ayam,ayam saus mentega ayam jagung putih nasi merah ayam tumis saus mentega klasik gurih protein_ayam,ayam saus mentega ayam tumis saus mentega klasik gurih nasi putih jagung merah protein_ayam,ayam saus mentega ayam tumis saus mentega klasik gurih
29,Ayam Madu,ayam,400,kentang nasi merah nasi putih,ayam panggang saus madu rasa manis gurih,"['nasi', 'putih', 'kentang', 'merah']",chicken honey ayam kentang nasi merah nasi putih ayam panggang saus madu rasa manis gurih,"kentang, nasi merah, nasi putih",ayam madu,ayam panggang saus madu rasa manis gurih,protein_ayam,ayam madu ayam merah putih kentang nasi ayam panggang saus madu rasa manis gurih protein_ayam,ayam madu ayam panggang saus madu rasa manis gurih nasi putih kentang merah protein_ayam,ayam madu ayam panggang saus madu rasa manis gurih
30,Ikan Stik Saus Korea,ikan,395,jagung nasi merah nasi putih,stik ikan renyah saus korea gochujang pedas manis,"['nasi', 'putih', 'jagung', 'merah']",fish stick saus korea ikan jagung nasi merah nasi putih stik ikan renyah saus korea gochujang pedas manis,"jagung, nasi merah, nasi putih",ikan stik saus korea,stik ikan renyah saus korea gochujang pedas manis,protein_ikan,ikan stik saus korea ikan jagung putih nasi merah stik ikan renyah saus korea gochujang pedas manis protein_ikan,ikan stik saus korea stik ikan renyah saus korea gochujang pedas manis nasi putih jagung merah protein_ikan,ikan stik saus korea stik ikan renyah saus korea gochujang pedas manis
31,Bola Daging Teriyaki,sapi,400,kentang nasi merah nasi putih,bola daging sapi saus teriyaki dengan sayur sop,"['nasi', 'putih', 'kentang', 'merah']",bola daging teriyaki sapi kentang nasi merah nasi putih bola daging sapi saus teriyaki dengan sayur sop,"kentang, nasi merah, nasi putih",bola daging teriyaki,bola daging sapi saus teriyaki dengan sayur sop,protein_sapi teriyaki,bola daging teriyaki sapi merah putih kentang nasi bola daging sapi saus teriyaki dengan sayur sop protein_sapi teriyaki,bola daging teriyaki bola daging sapi saus teriyaki dengan sayur sop nasi putih kentang merah protein_sapi teriyaki,bola daging teriyaki bola daging sapi saus teriyaki dengan sayur sop
32,Ayam Krispi Saus Barbeque,ayam,395,kentang ubi nasi merah nasi putih,ayam renyah saus barbeque buatan sendiri,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken crispy saus barbeque ayam kentang ubi nasi merah nasi putih ayam renyah saus barbeque buatan sendiri,"kentang, ubi, nasi merah, nasi putih",ayam krispi saus barbeque,ayam renyah saus barbeque buatan sendiri,protein_ayam,ayam krispi saus barbeque ayam kentang putih nasi ubi merah ayam renyah saus barbeque buatan sendiri protein_ayam,ayam krispi saus barbeque ayam renyah saus barbeque buatan sendiri nasi merah ubi putih kentang protein_ayam,ayam krispi saus barbeque ayam renyah saus barbeque buatan sendiri
33,Ayam Maranggi,ayam,400,kentang nasi merah nasi putih,sate ayam maranggi tanpa tusuk bumbu rempah,"['nasi', 'putih', 'kentang', 'merah']",ayam maranggi ayam kentang nasi merah nasi putih sate ayam maranggi tanpa tusuk bumbu rempah,"kentang, nasi merah, nasi putih",ayam maranggi,sate ayam maranggi tanpa tusuk bumbu rempah,protein_ayam,ayam maranggi ayam merah putih kentang nasi sate ayam maranggi tanpa tusuk bumbu rempah protein_ayam,ayam maranggi sate ayam maranggi tanpa tusuk bumbu rempah nasi putih kentang merah protein_ayam,ayam maranggi sate ayam maranggi tanpa tusuk bumbu rempah
34,Bola Ayam Saus Asam Pedas,ayam,400,jagung nasi merah nasi putih,bola ayam saus asam pedas segar tumis sayur,"['nasi', 'putih', 'jagung', 'merah']",bola ayam saus asam pedas ayam jagung nasi merah nasi putih bola ayam saus asam pedas segar tumis sayur,"jagung, nasi merah, nasi putih",bola ayam saus asam pedas,bola ayam saus asam pedas segar tumis sayur,protein_ayam pedas,bola ayam saus asam pedas ayam jagung putih nasi merah bola ayam saus asam pedas segar tumis sayur protein_ayam pedas,bola ayam saus asam pedas bola ayam saus asam pedas segar tumis sayur nasi putih jagung merah protein_ayam pedas,bola ayam saus asam pedas bola ayam saus asam pedas segar tumis sayur
35,Dori Katsu,ikan,395,jagung nasi merah nasi putih,katsu ikan dori renyah pilihan tumis atau salad,"['nasi', 'putih', 'jagung', 'merah']",dori katsu ikan jagung nasi merah nasi putih katsu ikan dori renyah pilihan tumis atau salad,"jagung, nasi merah, nasi putih",dori katsu,katsu ikan dori renyah pilihan tumis atau salad,protein_ikan,dori katsu ikan jagung putih nasi merah katsu ikan dori renyah pilihan tumis atau salad protein_ikan,dori katsu katsu ikan dori renyah pilihan tumis atau salad nasi putih jagung merah protein_ikan,dori katsu katsu ikan dori renyah pilihan tumis atau salad
36,Ayam Tomyum,ayam,395,kentang nasi merah nasi putih,ayam kuah tomyum rasa asam pedas tanpa santan,"['nasi', 'putih', 'kentang', 'merah']",chicken tomyum ayam kentang nasi merah nasi putih ayam kuah tomyum rasa asam pedas tanpa santan,"kentang, nasi merah, nasi putih",ayam tomyum,ayam kuah tomyum rasa asam pedas tanpa santan,protein_ayam,ayam tomyum ayam merah putih kentang nasi ayam kuah tomyum rasa asam pedas tanpa santan protein_ayam,ayam tomyum ayam kuah tomyum rasa asam pedas tanpa santan nasi putih kentang merah protein_ayam,ayam tomyum ayam kuah tomyum rasa asam pedas tanpa santan
37,Dori Sambal Ijo,ikan,400,kentang nasi merah nasi putih,ikan dori bumbu sambal ijo pedas nikmat,"['nasi', 'putih', 'kentang', 'merah']",dori sambal ijo ikan kentang nasi merah nasi putih ikan dori bumbu sambal ijo pedas nikmat,"kentang, nasi merah, nasi putih",dori sambal ijo,ikan dori bumbu sambal ijo pedas nikmat,protein_ikan,dori sambal ijo ikan merah putih kentang nasi ikan dori bumbu sambal ijo pedas nikmat protein_ikan,dori sambal ijo ikan dori bumbu sambal ijo pedas nikmat nasi putih kentang merah protein_ikan,dori sambal ijo ikan dori bumbu sambal ijo pedas nikmat
38,Ayam Telur Asin,ayam,400,jagung nasi merah nasi putih,ayam saus telur asin gurih rendah minyak,"['nasi', 'putih', 'jagung', 'merah']",chicken salted egg ayam jagung nasi merah nasi putih ayam saus telur asin gurih rendah minyak,"jagung, nasi merah, nasi putih",ayam telur asin,ayam saus telur asin gurih rendah minyak,protein_ayam,ayam telur asin ayam jagung putih nasi merah ayam saus telur asin gurih rendah minyak protein_ayam,ayam telur asin ayam saus telur asin gurih rendah minyak nasi putih jagung merah protein_ayam,ayam telur asin ayam saus telur asin gurih rendah minyak
39,Soto Bandung,ayam,390,kentang nasi merah nasi putih,soto daging khas bandung kuah bening lobak,"['nasi', 'putih', 'kentang', 'merah']",soto bandung sapi kentang nasi merah nasi putih soto daging khas bandung kuah bening lobak,"kentang, nasi merah, nasi putih",soto bandung,soto daging khas bandung kuah bening lobak,,soto bandung ayam merah putih kentang nasi soto daging khas bandung kuah bening lobak ,soto bandung soto daging khas bandung kuah bening lobak nasi putih kentang merah ,soto bandung soto daging khas bandung kuah bening lobak
40,Cah Brokoli Ayam,ayam,395,jagung nasi merah nasi putih,tumis brokoli segar ayam cincang lauk telur,"['nasi', 'putih', 'jagung', 'merah']",cah brokoli ayam ayam jagung nasi merah nasi putih tumis brokoli segar ayam cincang lauk telur,"jagung, nasi merah, nasi putih",cah brokoli ayam,tumis brokoli segar ayam cincang lauk telur,protein_ayam,cah brokoli ayam ayam jagung putih nasi merah tumis brokoli segar ayam cincang lauk telur protein_ayam,cah brokoli ayam tumis brokoli segar ayam cincang lauk telur nasi putih jagung merah protein_ayam,cah brokoli ayam tumis brokoli segar ayam cincang lauk telur
41,Ayam Saus Wijen,ayam,395,jagung nasi merah nasi putih,ayam tumis saus wijen sangrai wangi dan gurih,"['nasi', 'putih', 'jagung', 'merah']",ayam saus wijen ayam jagung nasi merah nasi putih ayam tumis saus wijen sangrai wangi dan gurih,"jagung, nasi merah, nasi putih",ayam saus wijen,ayam tumis saus wijen sangrai wangi dan gurih,protein_ayam,ayam saus wijen ayam jagung putih nasi merah ayam tumis saus wijen sangrai wangi dan gurih protein_ayam,ayam saus wijen ayam tumis saus wijen sangrai wangi dan gurih nasi putih jagung merah protein_ayam,ayam saus wijen ayam tumis saus wijen sangrai wangi dan gurih
42,Sapi Patty Barbeque,sapi,395,ubi kentang nasi merah nasi putih,patty sapi panggang saus barbeque tanpa roti,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",beef patty bbq sapi ubi kentang nasi merah nasi putih patty sapi panggang saus barbeque tanpa roti,"ubi, kentang, nasi merah, nasi putih",sapi patty barbeque,patty sapi panggang saus barbeque tanpa roti,protein_sapi,sapi patty barbeque sapi kentang putih nasi ubi merah patty sapi panggang saus barbeque tanpa roti protein_sapi,sapi patty barbeque patty sapi panggang saus barbeque tanpa roti nasi merah ubi putih kentang protein_sapi,sapi patty barbeque patty sapi panggang saus barbeque tanpa roti
43,Ayam Balado,ayam,385,jagung nasi merah nasi putih,ayam bumbu balado tumis sayur bayam lauk tempe,"['nasi', 'putih', 'jagung', 'merah']",ayam balado ayam jagung nasi merah nasi putih ayam bumbu balado tumis sayur bayam lauk tempe,"jagung, nasi merah, nasi putih",ayam balado,ayam bumbu balado tumis sayur bayam lauk tempe,protein_ayam,ayam balado ayam jagung putih nasi merah ayam bumbu balado tumis sayur bayam lauk tempe protein_ayam,ayam balado ayam bumbu balado tumis sayur bayam lauk tempe nasi putih jagung merah protein_ayam,ayam balado ayam bumbu balado tumis sayur bayam lauk tempe
44,Dori Katsu Pasta Aglio Eolio,ikan,400,pasta,katsu ikan dori disajikan dengan pasta aglio eolio,['pasta'],dori katsu pasta aglio eolio ikan pasta katsu ikan dori disajikan dengan pasta aglio eolio,pasta,dori katsu pasta aglio eolio,katsu ikan dori disajikan dengan pasta aglio eolio,protein_ikan,dori katsu pasta aglio eolio ikan pasta katsu ikan dori disajikan dengan pasta aglio eolio protein_ikan,dori katsu pasta aglio eolio katsu ikan dori disajikan dengan pasta aglio eolio pasta protein_ikan,dori katsu pasta aglio eolio katsu ikan dori disajikan dengan pasta aglio eolio
45,Ayam Bola Woku,ayam,390,kentang nasi merah nasi putih,bola ayam bumbu woku pedas kemangi tumis sayur,"['nasi', 'putih', 'kentang', 'merah']",chicken ball woku ayam kentang nasi merah nasi putih bola ayam bumbu woku pedas kemangi tumis sayur,"kentang, nasi merah, nasi putih",ayam bola woku,bola ayam bumbu woku pedas kemangi tumis sayur,protein_ayam,ayam bola woku ayam merah putih kentang nasi bola ayam bumbu woku pedas kemangi tumis sayur protein_ayam,ayam bola woku bola ayam bumbu woku pedas kemangi tumis sayur nasi putih kentang merah protein_ayam,ayam bola woku bola ayam bumbu woku pedas kemangi tumis sayur
