No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean
14,cah tahu sapi,sapi,395,jagung nasi merah nasi putih,tumis tahu dan daging sapi cincang protein seimbang,"['jagung', 'nasi merah', 'nasi putih']",cah tahu sapi sapi jagung nasi merah nasi putih tumis tahu dan daging sapi cincang protein seimbang,"jagung, nasi merah, nasi putih"
15,soto bandung,sapi,400,kentang nasi merah nasi putih,soto daging sapi kuah bening khas bandung,"['kentang', 'nasi merah', 'nasi putih']",soto bandung sapi kentang nasi merah nasi putih soto daging sapi kuah bening khas bandung,"kentang, nasi merah, nasi putih"
16,chicken herbs grill egg tortila,ayam,395,jagung nasi merah nasi putih,ayam panggang bumbu herbal dengan tortila telur,"['jagung', 'nasi merah', 'nasi putih']",chicken herbs grill egg tortila ayam jagung nasi merah nasi putih ayam panggang bumbu herbal dengan tortila telur,"jagung, nasi merah, nasi putih"
17,chicken blackpepper,ayam,400,jagung nasi merah nasi putih,ayam lada hitam tumis sayuran rasa pedas hangat,"['jagung', 'nasi merah', 'nasi putih']",chicken blackpepper ayam jagung nasi merah nasi putih ayam lada hitam tumis sayuran rasa pedas hangat,"jagung, nasi merah, nasi putih"
18,dori popcorn,ikan,395,,potongan dori renyah disajikan dengan pasta saus krim,[],dori popcorn ikan potongan dori renyah disajikan dengan pasta saus krim,N/A
19,soto daging spesial,sapi,400,kentang nasi merah nasi putih,soto daging kuah kaya rempah lauk lengkap,"['kentang', 'nasi merah', 'nasi putih']",soto daging spesial sapi kentang nasi merah nasi putih soto daging kuah kaya rempah lauk lengkap,"kentang, nasi merah, nasi putih"
20,cah buncis ayam,ayam,395,jagung nasi merah nasi putih,tumis buncis dengan ayam cincang lauk tempe,"['jagung', 'nasi merah', 'nasi putih']",cah buncis ayam ayam jagung nasi merah nasi putih tumis buncis dengan ayam cincang lauk tempe,"jagung, nasi merah, nasi putih"
21,rolade ayam,ayam,400,kentang nasi merah nasi putih,rolade ayam kukus disajikan dengan sayur sop,"['kentang', 'nasi merah', 'nasi putih']",rolade ayam ayam kentang nasi merah nasi putih rolade ayam kukus disajikan dengan sayur sop,"kentang, nasi merah, nasi putih"
22,chicken grill sambal matah,ayam,395,jagung ubi nasi merah nasi putih,ayam panggang disajikan dengan sambal matah segar,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",chicken grill sambal matah ayam jagung ubi nasi merah nasi putih ayam panggang disajikan dengan sambal matah segar,"jagung, ubi, nasi merah, nasi putih"
23,dori katsu balado,ikan,400,kentang nasi merah nasi putih,katsu ikan dori bumbu balado pedas tidak berminyak,"['kentang', 'nasi merah', 'nasi putih']",dori katsu balado ikan kentang nasi merah nasi putih katsu ikan dori bumbu balado pedas tidak berminyak,"kentang, nasi merah, nasi putih"
24,tahu bakso kuah,sapi,395,,tahu bakso sapi kuah kaldu segar tanpa santan,[],tahu bakso kuah sapi tahu bakso sapi kuah kaldu segar tanpa santan,N/A
25,chicken woku,ayam,400,kentang nasi merah nasi putih,ayam bumbu woku khas manado pedas dan wangi,"['kentang', 'nasi merah', 'nasi putih']",chicken woku ayam kentang nasi merah nasi putih ayam bumbu woku khas manado pedas dan wangi,"kentang, nasi merah, nasi putih"
26,beef burger,sapi,395,,burger patty sapi disajikan tanpa roti dengan salad,[],beef burger sapi burger patty sapi disajikan tanpa roti dengan salad,N/A
27,cah sapi buncis,sapi,400,jagung nasi merah nasi putih,tumis buncis dan daging sapi cincang lauk telur,"['jagung', 'nasi merah', 'nasi putih']",cah sapi buncis sapi jagung nasi merah nasi putih tumis buncis dan daging sapi cincang lauk telur,"jagung, nasi merah, nasi putih"
28,ayam saus mentega,ayam,395,jagung nasi merah nasi putih,ayam tumis saus mentega klasik gurih,"['jagung', 'nasi merah', 'nasi putih']",ayam saus mentega ayam jagung nasi merah nasi putih ayam tumis saus mentega klasik gurih,"jagung, nasi merah, nasi putih"
29,chicken honey,ayam,400,kentang nasi merah nasi putih,ayam panggang saus madu rasa manis gurih,"['kentang', 'nasi merah', 'nasi putih']",chicken honey ayam kentang nasi merah nasi putih ayam panggang saus madu rasa manis gurih,"kentang, nasi merah, nasi putih"
30,fish stick saus korea,ikan,395,jagung nasi merah nasi putih,stik ikan renyah saus korea gochujang pedas manis,"['jagung', 'nasi merah', 'nasi putih']",fish stick saus korea ikan jagung nasi merah nasi putih stik ikan renyah saus korea gochujang pedas manis,"jagung, nasi merah, nasi putih"
31,bola daging teriyaki,sapi,400,kentang nasi merah nasi putih,bola daging sapi saus teriyaki dengan sayur sop,"['kentang', 'nasi merah', 'nasi putih']",bola daging teriyaki sapi kentang nasi merah nasi putih bola daging sapi saus teriyaki dengan sayur sop,"kentang, nasi merah, nasi putih"
32,chicken crispy saus barbeque,ayam,395,kentang ubi nasi merah nasi putih,ayam renyah saus barbeque buatan sendiri,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken crispy saus barbeque ayam kentang ubi nasi merah nasi putih ayam renyah saus barbeque buatan sendiri,"kentang, ubi, nasi merah, nasi putih"
33,ayam maranggi,ayam,400,kentang nasi merah nasi putih,sate ayam maranggi tanpa tusuk bumbu rempah,"['kentang', 'nasi merah', 'nasi putih']",ayam maranggi ayam kentang nasi merah nasi putih sate ayam maranggi tanpa tusuk bumbu rempah,"kentang, nasi merah, nasi putih"
34,bola ayam saus asam pedas,ayam,400,jagung nasi merah nasi putih,bola ayam saus asam pedas segar tumis sayur,"['jagung', 'nasi merah', 'nasi putih']",bola ayam saus asam pedas ayam jagung nasi merah nasi putih bola ayam saus asam pedas segar tumis sayur,"jagung, nasi merah, nasi putih"
35,dori katsu,ikan,395,jagung nasi merah nasi putih,katsu ikan dori renyah pilihan tumis atau salad,"['jagung', 'nasi merah', 'nasi putih']",dori katsu ikan jagung nasi merah nasi putih katsu ikan dori renyah pilihan tumis atau salad,"jagung, nasi merah, nasi putih"
36,chicken tomyum,ayam,395,kentang nasi merah nasi putih,ayam kuah tomyum rasa asam pedas tanpa santan,"['kentang', 'nasi merah', 'nasi putih']",chicken tomyum ayam kentang nasi merah nasi putih ayam kuah tomyum rasa asam pedas tanpa santan,"kentang, nasi merah, nasi putih"
37,dori sambal ijo,ikan,400,kentang nasi merah nasi putih,ikan dori bumbu sambal ijo pedas nikmat,"['kentang', 'nasi merah', 'nasi putih']",dori sambal ijo ikan kentang nasi merah nasi putih ikan dori bumbu sambal ijo pedas nikmat,"kentang, nasi merah, nasi putih"
38,chicken salted egg,ayam,400,jagung nasi merah nasi putih,ayam saus telur asin gurih rendah minyak,"['jagung', 'nasi merah', 'nasi putih']",chicken salted egg ayam jagung nasi merah nasi putih ayam saus telur asin gurih rendah minyak,"jagung, nasi merah, nasi putih"
39,soto bandung,sapi,390,kentang nasi merah nasi putih,soto daging khas bandung kuah bening lobak,"['kentang', 'nasi merah', 'nasi putih']",soto bandung sapi kentang nasi merah nasi putih soto daging khas bandung kuah bening lobak,"kentang, nasi merah, nasi putih"
40,cah brokoli ayam,ayam,395,jagung nasi merah nasi putih,tumis brokoli segar ayam cincang lauk telur,"['jagung', 'nasi merah', 'nasi putih']",cah brokoli ayam ayam jagung nasi merah nasi putih tumis brokoli segar ayam cincang lauk telur,"jagung, nasi merah, nasi putih"
41,ayam saus wijen,ayam,395,jagung nasi merah nasi putih,ayam tumis saus wijen sangrai wangi dan gurih,"['jagung', 'nasi merah', 'nasi putih']",ayam saus wijen ayam jagung nasi merah nasi putih ayam tumis saus wijen sangrai wangi dan gurih,"jagung, nasi merah, nasi putih"
42,beef patty bbq,sapi,395,ubi kentang nasi merah nasi putih,patty sapi panggang saus barbeque tanpa roti,"['ubi', 'kentang', 'nasi merah', 'nasi putih']",beef patty bbq sapi ubi kentang nasi merah nasi putih patty sapi panggang saus barbeque tanpa roti,"ubi, kentang, nasi merah, nasi putih"
43,ayam balado,ayam,385,jagung nasi merah nasi putih,ayam bumbu balado tumis sayur bayam lauk tempe,"['jagung', 'nasi merah', 'nasi putih']",ayam balado ayam jagung nasi merah nasi putih ayam bumbu balado tumis sayur bayam lauk tempe,"jagung, nasi merah, nasi putih"
44,dori katsu pasta aglio eolio,ikan,400,,katsu ikan dori disajikan dengan pasta aglio eolio,[],dori katsu pasta aglio eolio ikan katsu ikan dori disajikan dengan pasta aglio eolio,N/A
45,chicken ball woku,ayam,390,kentang nasi merah nasi putih,bola ayam bumbu woku pedas kemangi tumis sayur,"['kentang', 'nasi merah', 'nasi putih']",chicken ball woku ayam kentang nasi merah nasi putih bola ayam bumbu woku pedas kemangi tumis sayur,"kentang, nasi merah, nasi putih"
46,egg tortila baked chicken honey,ayam,397,jagung,tortila telur ayam panggang saus madu jagung rebus,['jagung'],egg tortila baked chicken honey ayam jagung tortila telur ayam panggang saus madu jagung rebus,jagung
47,soto betawi,sapi,400,kentang nasi merah nasi putih,soto betawi kuah bening tanpa santan kaya rempah,"['kentang', 'nasi merah', 'nasi putih']",soto betawi sapi kentang nasi merah nasi putih soto betawi kuah bening tanpa santan kaya rempah,"kentang, nasi merah, nasi putih"
48,ayam saus mentega,ayam,400,jagung nasi merah nasi putih,ayam tumis saus mentega lauk tahu kukus,"['jagung', 'nasi merah', 'nasi putih']",ayam saus mentega ayam jagung nasi merah nasi putih ayam tumis saus mentega lauk tahu kukus,"jagung, nasi merah, nasi putih"
49,ayam serundeng,ayam,395,jagung nasi merah nasi putih,ayam tabur serundeng kelapa gurih tumis sayur,"['jagung', 'nasi merah', 'nasi putih']",ayam serundeng ayam jagung nasi merah nasi putih ayam tabur serundeng kelapa gurih tumis sayur,"jagung, nasi merah, nasi putih"
50,pangsit ayam yamin yahun,ayam,395,,pangsit ayam rebus mie yamin yahun sehat,[],pangsit ayam yamin yahun ayam pangsit ayam rebus mie yamin yahun sehat,N/A
51,creamy chicken mushroom,ayam,395,kentang nasi merah nasi putih,ayam jamur saus krim rendah lemak lauk telur,"['kentang', 'nasi merah', 'nasi putih']",creamy chicken mushroom ayam kentang nasi merah nasi putih ayam jamur saus krim rendah lemak lauk telur,"kentang, nasi merah, nasi putih"
52,buncis sapi lada hitam,sapi,395,ubi jagung nasi merah nasi putih,tumis buncis dan sapi cincang saus lada hitam,"['ubi', 'jagung', 'nasi merah', 'nasi putih']",buncis sapi lada hitam sapi ubi jagung nasi merah nasi putih tumis buncis dan sapi cincang saus lada hitam,"ubi, jagung, nasi merah, nasi putih"
53,ayam bakar,ayam,390,jagung nasi merah nasi putih,ayam bakar bumbu kecap tumis sayur lauk tempe,"['jagung', 'nasi merah', 'nasi putih']",ayam bakar ayam jagung nasi merah nasi putih ayam bakar bumbu kecap tumis sayur lauk tempe,"jagung, nasi merah, nasi putih"
54,dori salted egg,ikan,390,kentang ubi nasi merah nasi putih,ikan dori saus telur asin gurih sayuran kukus,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",dori salted egg ikan kentang ubi nasi merah nasi putih ikan dori saus telur asin gurih sayuran kukus,"kentang, ubi, nasi merah, nasi putih"
55,dori sambal ijo,ikan,395,kentang nasi merah nasi putih,ikan dori bumbu sambal ijo disajikan sop lauk tahu,"['kentang', 'nasi merah', 'nasi putih']",dori sambal ijo ikan kentang nasi merah nasi putih ikan dori bumbu sambal ijo disajikan sop lauk tahu,"kentang, nasi merah, nasi putih"
56,chicken patty crispy,ayam,390,jagung nasi merah nasi putih,patty ayam renyah disajikan dengan salad sayur,"['jagung', 'nasi merah', 'nasi putih']",chicken patty crispy ayam jagung nasi merah nasi putih patty ayam renyah disajikan dengan salad sayur,"jagung, nasi merah, nasi putih"
57,chicken tomyum,ayam,395,kentang nasi merah nasi putih,ayam kuah tomyum asam pedas segar lauk telur rebus,"['kentang', 'nasi merah', 'nasi putih']",chicken tomyum ayam kentang nasi merah nasi putih ayam kuah tomyum asam pedas segar lauk telur rebus,"kentang, nasi merah, nasi putih"
58,chicken bbq grill,ayam,390,jagung nasi merah nasi putih,ayam panggang saus barbeque sayuran kukus,"['jagung', 'nasi merah', 'nasi putih']",chicken bbq grill ayam jagung nasi merah nasi putih ayam panggang saus barbeque sayuran kukus,"jagung, nasi merah, nasi putih"
59,dori sambal matah,ikan,395,jagung nasi merah nasi putih,ikan dori sambal matah segar lauk telur orak arik,"['jagung', 'nasi merah', 'nasi putih']",dori sambal matah ikan jagung nasi merah nasi putih ikan dori sambal matah segar lauk telur orak arik,"jagung, nasi merah, nasi putih"
60,longbun with chicken blackpepper,ayam,400,,roti gandum ayam lada hitam disajikan dengan salad,[],longbun with chicken blackpepper ayam roti gandum ayam lada hitam disajikan dengan salad,N/A
61,soto ayam spesial,ayam,395,bihun kentang nasi merah nasi putih,soto ayam kuah kuning lauk lengkap tanpa santan,"['bihun', 'kentang', 'nasi merah', 'nasi putih']",soto ayam spesial ayam bihun kentang nasi merah nasi putih soto ayam kuah kuning lauk lengkap tanpa santan,"bihun, kentang, nasi merah, nasi putih"
62,bistik sapi,sapi,395,jagung nasi merah nasi putih,bistik daging sapi empuk saus gurih sayur kukus,"['jagung', 'nasi merah', 'nasi putih']",bistik sapi sapi jagung nasi merah nasi putih bistik daging sapi empuk saus gurih sayur kukus,"jagung, nasi merah, nasi putih"
63,sapi cabe garam,sapi,390,jagung nasi merah nasi putih,daging sapi tumis cabe garam pedas gurih lauk tempe,"['jagung', 'nasi merah', 'nasi putih']",sapi cabe garam sapi jagung nasi merah nasi putih daging sapi tumis cabe garam pedas gurih lauk tempe,"jagung, nasi merah, nasi putih"
64,bola ayam sambal taichan,ayam,395,kentang ubi nasi merah nasi putih,bola ayam bakar sambal taichan pedas asam,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",bola ayam sambal taichan ayam kentang ubi nasi merah nasi putih bola ayam bakar sambal taichan pedas asam,"kentang, ubi, nasi merah, nasi putih"
65,chicken rolade,ayam,395,kentang nasi merah nasi putih,rolade ayam kukus disajikan tumis sayuran,"['kentang', 'nasi merah', 'nasi putih']",chicken rolade ayam kentang nasi merah nasi putih rolade ayam kukus disajikan tumis sayuran,"kentang, nasi merah, nasi putih"
66,dori katsu saus asam manis,ikan,390,jagung nasi merah nasi putih,katsu ikan dori saus asam manis lauk sayur sop,"['jagung', 'nasi merah', 'nasi putih']",dori katsu saus asam manis ikan jagung nasi merah nasi putih katsu ikan dori saus asam manis lauk sayur sop,"jagung, nasi merah, nasi putih"
67,baked chicken honey,ayam,390,kentang nasi merah nasi putih,ayam panggang madu bumbu meresap tumis sayur,"['kentang', 'nasi merah', 'nasi putih']",baked chicken honey ayam kentang nasi merah nasi putih ayam panggang madu bumbu meresap tumis sayur,"kentang, nasi merah, nasi putih"
68,dori stick,ikan,400,,stik ikan dori pasta aglio eolio sayuran kukus,[],dori stick ikan stik ikan dori pasta aglio eolio sayuran kukus,N/A
69,rawon surabaya sapi ayam,lainnya,395,kentang nasi merah nasi putih,rawon kuah rempah pilihan sapi atau ayam,"['kentang', 'nasi merah', 'nasi putih']",rawon surabaya sapi ayam lainnya kentang nasi merah nasi putih rawon kuah rempah pilihan sapi atau ayam,"kentang, nasi merah, nasi putih"
70,chicken ball blackpepper,ayam,395,jagung nasi merah nasi putih,bola ayam saus lada hitam lauk tahu kukus,"['jagung', 'nasi merah', 'nasi putih']",chicken ball blackpepper ayam jagung nasi merah nasi putih bola ayam saus lada hitam lauk tahu kukus,"jagung, nasi merah, nasi putih"
71,ayam maranggi,ayam,400,jagung nasi merah nasi putih,ayam bumbu maranggi tumis sayur lauk tempe,"['jagung', 'nasi merah', 'nasi putih']",ayam maranggi ayam jagung nasi merah nasi putih ayam bumbu maranggi tumis sayur lauk tempe,"jagung, nasi merah, nasi putih"
72,beef patty kastu,sapi,395,kentang ubi nasi merah nasi putih,patty sapi panggang saus kastu sayuran kukus,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",beef patty kastu sapi kentang ubi nasi merah nasi putih patty sapi panggang saus kastu sayuran kukus,"kentang, ubi, nasi merah, nasi putih"
73,dori cabai garam,ikan,395,jagung nasi merah nasi putih,ikan dori tumis cabai garam pedas gurih,"['jagung', 'nasi merah', 'nasi putih']",dori cabai garam ikan jagung nasi merah nasi putih ikan dori tumis cabai garam pedas gurih,"jagung, nasi merah, nasi putih"
74,chicken grill sambal matah,ayam,390,kentang ubi nasi merah nasi putih,ayam panggang sambal matah segar sayur kukus,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken grill sambal matah ayam kentang ubi nasi merah nasi putih ayam panggang sambal matah segar sayur kukus,"kentang, ubi, nasi merah, nasi putih"
75,ayam suwir teriyaki,ayam,400,kentang nasi merah nasi putih,ayam suwir saus teriyaki tumis sayuran,"['kentang', 'nasi merah', 'nasi putih']",ayam suwir teriyaki ayam kentang nasi merah nasi putih ayam suwir saus teriyaki tumis sayuran,"kentang, nasi merah, nasi putih"
76,scotch egg,lainnya,395,jagung,telur rebus dibalut daging disajikan dengan salad,['jagung'],scotch egg lainnya jagung telur rebus dibalut daging disajikan dengan salad,jagung
77,ayam bumbu kari,ayam,400,kentang nasi merah nasi putih,ayam bumbu kari tanpa santan lauk telur orak arik,"['kentang', 'nasi merah', 'nasi putih']",ayam bumbu kari ayam kentang nasi merah nasi putih ayam bumbu kari tanpa santan lauk telur orak arik,"kentang, nasi merah, nasi putih"
78,beef tofu teriyaki,sapi,400,jagung nasi merah nasi putih,daging sapi dan tahu saus teriyaki sayur kukus,"['jagung', 'nasi merah', 'nasi putih']",beef tofu teriyaki sapi jagung nasi merah nasi putih daging sapi dan tahu saus teriyaki sayur kukus,"jagung, nasi merah, nasi putih"
79,dori oat saus asam manis,ikan,395,jagung nasi merah nasi putih,ikan dori balut oat saus asam manis tumis sayur,"['jagung', 'nasi merah', 'nasi putih']",dori oat saus asam manis ikan jagung nasi merah nasi putih ikan dori balut oat saus asam manis tumis sayur,"jagung, nasi merah, nasi putih"
80,ayam bakar padang,ayam,395,kentang ubi nasi merah nasi putih,ayam bakar bumbu padang tanpa santan lauk tempe,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",ayam bakar padang ayam kentang ubi nasi merah nasi putih ayam bakar bumbu padang tanpa santan lauk tempe,"kentang, ubi, nasi merah, nasi putih"
81,ayam maranggi,ayam,400,kentang nasi merah nasi putih,ayam bumbu maranggi tumis sayur lauk telur,"['kentang', 'nasi merah', 'nasi putih']",ayam maranggi ayam kentang nasi merah nasi putih ayam bumbu maranggi tumis sayur lauk telur,"kentang, nasi merah, nasi putih"
82,bola daging saus lada hitam,sapi,395,jagung nasi merah nasi putih,bola daging sapi saus lada hitam disajikan salad,"['jagung', 'nasi merah', 'nasi putih']",bola daging saus lada hitam sapi jagung nasi merah nasi putih bola daging sapi saus lada hitam disajikan salad,"jagung, nasi merah, nasi putih"
83,ayam balado,ayam,390,jagung nasi merah nasi putih,ayam bumbu balado tumis sayur bayam wortel labu,"['jagung', 'nasi merah', 'nasi putih']",ayam balado ayam jagung nasi merah nasi putih ayam bumbu balado tumis sayur bayam wortel labu,"jagung, nasi merah, nasi putih"
84,fish stick saus wijen,ikan,395,ubi kentang nasi merah nasi putih,stik ikan saus wijen sayur kukus hidangan penutup,"['ubi', 'kentang', 'nasi merah', 'nasi putih']",fish stick saus wijen ikan ubi kentang nasi merah nasi putih stik ikan saus wijen sayur kukus hidangan penutup,"ubi, kentang, nasi merah, nasi putih"
85,soto bandung,sapi,390,kentang nasi merah nasi putih,soto daging kuah bening lobak lauk telur rebus,"['kentang', 'nasi merah', 'nasi putih']",soto bandung sapi kentang nasi merah nasi putih soto daging kuah bening lobak lauk telur rebus,"kentang, nasi merah, nasi putih"
86,chicken katsu,ayam,390,jagung ubi nasi merah nasi putih,katsu ayam panggang rendah minyak disajikan salad,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",chicken katsu ayam jagung ubi nasi merah nasi putih katsu ayam panggang rendah minyak disajikan salad,"jagung, ubi, nasi merah, nasi putih"
87,ayam serundeng,ayam,400,jagung nasi merah nasi putih,ayam tabur serundeng tumis sayur lauk tahu tempe,"['jagung', 'nasi merah', 'nasi putih']",ayam serundeng ayam jagung nasi merah nasi putih ayam tabur serundeng tumis sayur lauk tahu tempe,"jagung, nasi merah, nasi putih"
88,chicken teriyaki grill,ayam,400,kentang nasi merah nasi putih,ayam panggang teriyaki lauk telur orak arik,"['kentang', 'nasi merah', 'nasi putih']",chicken teriyaki grill ayam kentang nasi merah nasi putih ayam panggang teriyaki lauk telur orak arik,"kentang, nasi merah, nasi putih"
89,ikan acar kuning,ikan,395,kentang nasi merah nasi putih,ikan bumbu acar kuning segar lauk perkedel tahu,"['kentang', 'nasi merah', 'nasi putih']",ikan acar kuning ikan kentang nasi merah nasi putih ikan bumbu acar kuning segar lauk perkedel tahu,"kentang, nasi merah, nasi putih"
90,ayam bakar bacem,ayam,395,jagung ubi nasi merah nasi putih,ayam bakar bumbu bacem manis gurih lauk tempe,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",ayam bakar bacem ayam jagung ubi nasi merah nasi putih ayam bakar bumbu bacem manis gurih lauk tempe,"jagung, ubi, nasi merah, nasi putih"
91,ayam cabe ijo,ayam,400,jagung nasi merah nasi putih,ayam bumbu cabe ijo tumis bayam lauk telur,"['jagung', 'nasi merah', 'nasi putih']",ayam cabe ijo ayam jagung nasi merah nasi putih ayam bumbu cabe ijo tumis bayam lauk telur,"jagung, nasi merah, nasi putih"
92,beef bulgogi,sapi,395,kentang nasi merah nasi putih,daging sapi bumbu bulgogi korea lauk tahu,"['kentang', 'nasi merah', 'nasi putih']",beef bulgogi sapi kentang nasi merah nasi putih daging sapi bumbu bulgogi korea lauk tahu,"kentang, nasi merah, nasi putih"
93,ayam sambel geprek,ayam,395,kentang nasi merah nasi putih,ayam geprek sambal pedas disajikan sayur sop,"['kentang', 'nasi merah', 'nasi putih']",ayam sambel geprek ayam kentang nasi merah nasi putih ayam geprek sambal pedas disajikan sayur sop,"kentang, nasi merah, nasi putih"
94,pasta aglio eolio dori stick,ikan,395,,pasta aglio eolio stik dori hidangan penutup,[],pasta aglio eolio dori stick ikan pasta aglio eolio stik dori hidangan penutup,N/A
95,bistik bola sapi,sapi,395,kentang nasi merah nasi putih,bola daging bistik saus gurih tumis sayur tahu,"['kentang', 'nasi merah', 'nasi putih']",bistik bola sapi sapi kentang nasi merah nasi putih bola daging bistik saus gurih tumis sayur tahu,"kentang, nasi merah, nasi putih"
96,scotch egg,lainnya,390,jagung ubi nasi merah nasi putih,telur balut daging disajikan dengan salad sayur,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",scotch egg lainnya jagung ubi nasi merah nasi putih telur balut daging disajikan dengan salad sayur,"jagung, ubi, nasi merah, nasi putih"
97,beef yakiniku,sapi,400,kentang nasi merah nasi putih,daging sapi yakiniku tumis sayur lauk tahu,"['kentang', 'nasi merah', 'nasi putih']",beef yakiniku sapi kentang nasi merah nasi putih daging sapi yakiniku tumis sayur lauk tahu,"kentang, nasi merah, nasi putih"
98,cah ayam buncis,ayam,395,jagung nasi merah nasi putih,tumis buncis ayam cincang lauk telur mata sapi,"['jagung', 'nasi merah', 'nasi putih']",cah ayam buncis ayam jagung nasi merah nasi putih tumis buncis ayam cincang lauk telur mata sapi,"jagung, nasi merah, nasi putih"
99,fish katsu saus manis pedas,ikan,400,jagung nasi merah nasi putih,katsu ikan saus manis pedas tumis sayuran,"['jagung', 'nasi merah', 'nasi putih']",fish katsu saus manis pedas ikan jagung nasi merah nasi putih katsu ikan saus manis pedas tumis sayuran,"jagung, nasi merah, nasi putih"
100,tumis ayam paprika,ayam,400,kentang nasi merah nasi putih,ayam tumis paprika lauk tahu kukus sayur kukus,"['kentang', 'nasi merah', 'nasi putih']",tumis ayam paprika ayam kentang nasi merah nasi putih ayam tumis paprika lauk tahu kukus sayur kukus,"kentang, nasi merah, nasi putih"
